location,date,hour,long,lat,hourly_lcpeak_avg
Calveriekapel,2022-01-15,3,4.6999168,50.8745267,62.20069454513425
Calveriekapel,2022-01-15,4,4.6999168,50.8745267,62.323329027274966
Calveriekapel,2022-01-15,5,4.6999168,50.8745267,63.763744043290316
Calveriekapel,2022-01-15,6,4.6999168,50.8745267,68.36492915185488
Calveriekapel,2022-01-15,7,4.6999168,50.8745267,72.17035487469963
Calveriekapel,2022-01-15,8,4.6999168,50.8745267,73.53619859741843
Calveriekapel,2022-01-15,9,4.6999168,50.8745267,73.76136208115305
Calveriekapel,2022-01-15,10,4.6999168,50.8745267,74.35365651451232
Calveriekapel,2022-01-15,11,4.6999168,50.8745267,74.9139574388313
Calveriekapel,2022-01-15,12,4.6999168,50.8745267,74.87879236283318
Calveriekapel,2022-01-15,13,4.6999168,50.8745267,74.70213945630127
Calveriekapel,2022-01-15,14,4.6999168,50.8745267,74.69254455481048
Calveriekapel,2022-01-15,15,4.6999168,50.8745267,74.99897699482423
Calveriekapel,2022-01-15,16,4.6999168,50.8745267,74.13506358757158
Calveriekapel,2022-01-15,17,4.6999168,50.8745267,74.62726556882002
Calveriekapel,2022-01-15,18,4.6999168,50.8745267,75.10732404841539
Calveriekapel,2022-01-15,19,4.6999168,50.8745267,74.31970790116266
Calveriekapel,2022-01-15,20,4.6999168,50.8745267,73.38050797299174
Calveriekapel,2022-01-15,21,4.6999168,50.8745267,71.81535304409383
Calveriekapel,2022-01-15,22,4.6999168,50.8745267,70.1089647022452
Calveriekapel,2022-01-15,23,4.6999168,50.8745267,67.63160150210841
Calveriekapel,2022-01-16,0,4.6999168,50.8745267,64.95960209967828
Calveriekapel,2022-01-16,1,4.6999168,50.8745267,63.281144572326816
Calveriekapel,2022-01-16,2,4.6999168,50.8745267,62.505081082668184
Calveriekapel,2022-01-16,3,4.6999168,50.8745267,62.20069454513425
Calveriekapel,2022-01-16,4,4.6999168,50.8745267,62.323329027274966
Calveriekapel,2022-01-16,5,4.6999168,50.8745267,63.763744043290316
Calveriekapel,2022-01-16,6,4.6999168,50.8745267,68.36492915185488
Calveriekapel,2022-01-16,7,4.6999168,50.8745267,72.17035487469963
Calveriekapel,2022-01-16,8,4.6999168,50.8745267,73.53619859741843
Calveriekapel,2022-01-16,9,4.6999168,50.8745267,73.76136208115305
Calveriekapel,2022-01-16,10,4.6999168,50.8745267,74.35365651451232
Calveriekapel,2022-01-16,11,4.6999168,50.8745267,74.9139574388313
Calveriekapel,2022-01-16,12,4.6999168,50.8745267,74.87879236283318
Calveriekapel,2022-01-16,13,4.6999168,50.8745267,74.70213945630127
